	0
2012-01-01	29116
2012-01-02	38188
2012-01-03	48890
2012-01-04	48608
2012-01-05	50874
2012-01-06	42537
2012-01-07	31122
2012-01-08	37076
2012-01-09	57011
2012-01-10	51625
2012-01-11	56592
2012-01-12	61444
2012-01-13	51929
2012-01-14	33840
2012-01-15	43749
2012-01-16	57038
2012-01-17	178841
2012-01-18	54224
2012-01-19	51543
2012-01-20	43897
2012-01-21	33010
2012-01-22	36943
2012-01-23	51032
2012-01-24	54800
2012-01-25	51451
2012-01-26	49338
2012-01-27	43120
2012-01-28	31967
2012-01-29	24328
2012-01-30	50375
2012-01-31	49506
2012-02-01	168
